2024-08-11 14:03:19,676 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /start
2024-08-11 14:03:24,920 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /help
2024-08-11 14:03:32,075 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /systeminfo
2024-08-11 14:03:40,082 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /ping
2024-08-11 14:03:47,812 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /weather
2024-08-11 14:03:59,653 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /weather barasat
2024-08-11 14:04:06,331 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /speedtest
2024-08-11 14:07:14,576 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /imdb
2024-08-11 14:07:29,700 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /imdb bazigar
2024-08-11 14:07:40,296 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /imdb avengers
2024-08-11 14:07:48,271 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /anime
2024-08-11 14:07:58,996 - INFO - User Interaction: User ID: 6426928410, Username: xero_01, Chat ID: 6426928410, Message: /anime bleach
